scenario,P_laser,P_EUV,eta,CE,pulse_freq,F1,F3,F7,type,droplet_diameter,pulse_width,plasma_temp,F2,F4,F5,F6
sweep,20.0,31.022847903559985,0.025852373252966653,0.06,27.0,0.6,0.9,0.85,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,253.35325787907317,0.12064440851384436,0.06,63.0,0.6,0.85,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,219.57282349519673,0.08132326796118397,0.06,36.0,0.65,0.98,0.85,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,167.56167849145052,0.055853892830483504,0.06,50.0,0.7,0.85,0.9,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,211.7309369417968,0.07841886553399882,0.06,54.0,0.65,0.9,0.85,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,28.61401500751885,0.01589667500417714,0.06,72.0,0.6,0.98,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,187.77947348684245,0.06954795314327498,0.06,54.0,0.7,0.98,0.9,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,25.0,77.27550349252776,0.051517002328351845,0.06,45.0,0.7,0.98,0.8,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,49.31213470683522,0.041093445589029345,0.06,72.0,0.6,0.95,0.8,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,30.563250156840564,0.02546937513070047,0.06,36.0,0.7,0.95,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,75.69845240084354,0.06308204366736961,0.06,50.0,0.6,0.9,0.8,sweep,25.0,7.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,298.0626563283214,0.11039357641789681,0.06,50.0,0.6,0.98,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,50.0,20.225680250850374,0.006741893416950124,0.06,27.0,0.7,0.95,0.9,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,27.91577563667565,0.013293226493655072,0.06,63.0,0.7,0.85,0.85,sweep,25.0,1.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,137.23301468449796,0.0653490546116657,0.06,63.0,0.65,0.85,0.9,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,40.32970227462796,0.03360808522885664,0.06,54.0,0.65,0.9,0.85,sweep,25.0,3.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,238.45012506265712,0.08831486113431745,0.06,45.0,0.6,0.98,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,35.0,125.84867711640233,0.05992794148400111,0.06,27.0,0.7,0.95,0.8,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,20.0,70.96729912579079,0.059139415938158996,0.06,50.0,0.7,0.9,0.9,sweep,25.0,5.0,40.0,0.85,0.85,0.85,0.9
sweep,45.0,402.3845860432338,0.14903132816416068,0.06,63.0,0.7,0.9,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
sweep,30.0,134.43234091542655,0.07468463384190364,0.06,36.0,0.65,0.85,0.9,sweep,25.0,10.0,40.0,0.85,0.85,0.85,0.9
